Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,16,16,16,16,3A,TMY15WA_BSEW0182,4399384,2052857,69
LEARNING 1,19,18,18,18,3A,TMY15WA_BSEW0183,4399384,2052857,69
LEARNING 2,14,14,14,14,3A,TMY15WA_BSEW0184,4399384,2052857,69
PERFORMANCE,13,13,13,13,3A,TMY15WA_BSEW0185,4399384,2052857,69
LEARNING 4,15,14,14,14,3A,TMY15WA_BSEW0186,4399384,2052857,69
LEARNING 3,15,15,15,15,3A,TMY15WA_BSEW0187,4399384,2052857,69
FOOD PREP,25,25,25,25,3A,TMY15WA_BSEW0188,4399384,2052857,69
GYM,18,18,18,18,3A,TMY15WA_BSEW0189,4399384,2052857,69
Unmet Hours (Heating),14,13,13,12,3A,TMY15WA_BSEW0190,4399384,2052857,69
Unmet Hours (Cooling),189,192,192,182,3A,TMY15WA_BSEW0191,4399384,2052857,69
UH Compliance,203,205,205,194,3A,TMY15WA_BSEW0192,4399384,2052857,69
