Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,16,16,16,16,6A,TMY15WA_BSEW0182,5360740,1973973,90
LEARNING 1,18,18,18,18,6A,TMY15WA_BSEW0183,5360740,1973973,90
LEARNING 2,15,14,14,14,6A,TMY15WA_BSEW0184,5360740,1973973,90
PERFORMANCE,12,12,12,12,6A,TMY15WA_BSEW0185,5360740,1973973,90
LEARNING 4,15,14,14,14,6A,TMY15WA_BSEW0186,5360740,1973973,90
LEARNING 3,16,16,16,15,6A,TMY15WA_BSEW0187,5360740,1973973,90
FOOD PREP,19,19,18,18,6A,TMY15WA_BSEW0188,5360740,1973973,90
GYM,16,16,16,16,6A,TMY15WA_BSEW0189,5360740,1973973,90
Unmet Hours (Heating),218,196,188,187,6A,TMY15WA_BSEW0190,5360740,1973973,90
Unmet Hours (Cooling),142,144,145,139,6A,TMY15WA_BSEW0191,5360740,1973973,90
UH Compliance,360,340,333,326,6A,TMY15WA_BSEW0192,5360740,1973973,90
