Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,17,17,17,17,8,TMY15WA_BSEW0182,6235021,1524215,121.4
LEARNING 1,19,18,18,19,8,TMY15WA_BSEW0183,6235021,1524215,121.4
LEARNING 2,16,16,15,16,8,TMY15WA_BSEW0184,6235021,1524215,121.4
PERFORMANCE,12,12,12,12,8,TMY15WA_BSEW0185,6235021,1524215,121.4
LEARNING 4,15,15,15,15,8,TMY15WA_BSEW0186,6235021,1524215,121.4
LEARNING 3,16,16,16,16,8,TMY15WA_BSEW0187,6235021,1524215,121.4
FOOD PREP,16,16,16,16,8,TMY15WA_BSEW0188,6235021,1524215,121.4
GYM,16,16,16,16,8,TMY15WA_BSEW0189,6235021,1524215,121.4
Unmet Hours (Heating),731,727,735,731,8,TMY15WA_BSEW0190,6235021,1524215,121.4
Unmet Hours (Cooling),102,105,98,102,8,TMY15WA_BSEW0191,6235021,1524215,121.4
UH Compliance,833,832,833,833,8,TMY15WA_BSEW0192,6235021,1524215,121.4
