Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,15,15,14,14,6B,TMY15WA_BSEW0182,5437763,1819099,93
LEARNING 1,16,16,16,16,6B,TMY15WA_BSEW0183,5437763,1819099,93
LEARNING 2,14,14,13,13,6B,TMY15WA_BSEW0184,5437763,1819099,93
PERFORMANCE,10,10,10,10,6B,TMY15WA_BSEW0185,5437763,1819099,93
LEARNING 4,13,13,13,13,6B,TMY15WA_BSEW0186,5437763,1819099,93
LEARNING 3,14,14,14,14,6B,TMY15WA_BSEW0187,5437763,1819099,93
FOOD PREP,14,14,14,14,6B,TMY15WA_BSEW0188,5437763,1819099,93
GYM,14,14,14,14,6B,TMY15WA_BSEW0189,5437763,1819099,93
Unmet Hours (Heating),273,267,265,267,6B,TMY15WA_BSEW0190,5437763,1819099,93
Unmet Hours (Cooling),116,126,132,129,6B,TMY15WA_BSEW0191,5437763,1819099,93
UH Compliance,389,393,397,396,6B,TMY15WA_BSEW0192,5437763,1819099,93
