Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,16,16,16,16,5A,TMY15WA_BSEW0182,5085074,2034786,82
LEARNING 1,18,18,18,18,5A,TMY15WA_BSEW0183,5085074,2034786,82
LEARNING 2,14,14,14,14,5A,TMY15WA_BSEW0184,5085074,2034786,82
PERFORMANCE,12,11,12,12,5A,TMY15WA_BSEW0185,5085074,2034786,82
LEARNING 4,14,14,14,14,5A,TMY15WA_BSEW0186,5085074,2034786,82
LEARNING 3,16,16,16,16,5A,TMY15WA_BSEW0187,5085074,2034786,82
FOOD PREP,19,19,19,19,5A,TMY15WA_BSEW0188,5085074,2034786,82
GYM,16,16,16,16,5A,TMY15WA_BSEW0189,5085074,2034786,82
Unmet Hours (Heating),93,92,89,95,5A,TMY15WA_BSEW0190,5085074,2034786,82
Unmet Hours (Cooling),144,162,142,138,5A,TMY15WA_BSEW0191,5085074,2034786,82
UH Compliance,237,254,231,233,5A,TMY15WA_BSEW0192,5085074,2034786,82
