Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,27,26,26,26,1A,TMY15WA_BSEW0182,3988641,2568606,73
LEARNING 1,31,30,30,30,1A,TMY15WA_BSEW0183,3988641,2568606,73
LEARNING 2,21,21,21,21,1A,TMY15WA_BSEW0184,3988641,2568606,73
PERFORMANCE,22,22,22,22,1A,TMY15WA_BSEW0185,3988641,2568606,73
LEARNING 4,24,24,24,24,1A,TMY15WA_BSEW0186,3988641,2568606,73
LEARNING 3,26,26,26,26,1A,TMY15WA_BSEW0187,3988641,2568606,73
FOOD PREP,33,33,33,33,1A,TMY15WA_BSEW0188,3988641,2568606,73
GYM,27,27,27,27,1A,TMY15WA_BSEW0189,3988641,2568606,73
Unmet Hours (Heating),0,0,0,0,1A,TMY15WA_BSEW0190,3988641,2568606,73
Unmet Hours (Cooling),267,267,251,255,1A,TMY15WA_BSEW0191,3988641,2568606,73
UH Compliance,267,267,251,255,1A,TMY15WA_BSEW0192,3988641,2568606,73
