Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,16,16,16,16,3B,TMY15WA_BSEW0182,3934210,2476394,70
LEARNING 1,18,18,18,18,3B,TMY15WA_BSEW0183,3934210,2476394,70
LEARNING 2,14,14,14,14,3B,TMY15WA_BSEW0184,3934210,2476394,70
PERFORMANCE,11,11,11,11,3B,TMY15WA_BSEW0185,3934210,2476394,70
LEARNING 4,14,14,14,14,3B,TMY15WA_BSEW0186,3934210,2476394,70
LEARNING 3,15,15,15,15,3B,TMY15WA_BSEW0187,3934210,2476394,70
FOOD PREP,19,19,19,19,3B,TMY15WA_BSEW0188,3934210,2476394,70
GYM,16,16,16,16,3B,TMY15WA_BSEW0189,3934210,2476394,70
Unmet Hours (Heating),22,22,22,23,3B,TMY15WA_BSEW0190,3934210,2476394,70
Unmet Hours (Cooling),159,153,153,151,3B,TMY15WA_BSEW0191,3934210,2476394,70
UH Compliance,181,175,175,174,3B,TMY15WA_BSEW0192,3934210,2476394,70
