Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,12,12,12,12,4C,TMY15WA_BSEW0182,4030998,2015425,72
LEARNING 1,14,14,14,14,4C,TMY15WA_BSEW0183,4030998,2015425,72
LEARNING 2,11,11,11,11,4C,TMY15WA_BSEW0184,4030998,2015425,72
PERFORMANCE,8,8,8,8,4C,TMY15WA_BSEW0185,4030998,2015425,72
LEARNING 4,11,11,11,11,4C,TMY15WA_BSEW0186,4030998,2015425,72
LEARNING 3,12,12,12,12,4C,TMY15WA_BSEW0187,4030998,2015425,72
FOOD PREP,16,16,16,16,4C,TMY15WA_BSEW0188,4030998,2015425,72
GYM,12,12,12,12,4C,TMY15WA_BSEW0189,4030998,2015425,72
Unmet Hours (Heating),49,50,49,51,4C,TMY15WA_BSEW0190,4030998,2015425,72
Unmet Hours (Cooling),153,170,161,162,4C,TMY15WA_BSEW0191,4030998,2015425,72
UH Compliance,202,220,210,213,4C,TMY15WA_BSEW0192,4030998,2015425,72
