Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,14,14,14,14,4B,TMY15WA_BSEW0182,4290498,1920707,75
LEARNING 1,16,16,16,16,4B,TMY15WA_BSEW0183,4290498,1920707,75
LEARNING 2,13,13,13,13,4B,TMY15WA_BSEW0184,4290498,1920707,75
PERFORMANCE,10,10,10,10,4B,TMY15WA_BSEW0185,4290498,1920707,75
LEARNING 4,13,13,13,13,4B,TMY15WA_BSEW0186,4290498,1920707,75
LEARNING 3,14,14,14,14,4B,TMY15WA_BSEW0187,4290498,1920707,75
FOOD PREP,17,17,17,17,4B,TMY15WA_BSEW0188,4290498,1920707,75
GYM,15,15,15,15,4B,TMY15WA_BSEW0189,4290498,1920707,75
Unmet Hours (Heating),118,112,119,118,4B,TMY15WA_BSEW0190,4290498,1920707,75
Unmet Hours (Cooling),203,195,177,189,4B,TMY15WA_BSEW0191,4290498,1920707,75
UH Compliance,321,307,296,307,4B,TMY15WA_BSEW0192,4290498,1920707,75
