Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,17,17,17,17,2B,TMY15WA_BSEW0182,3651144,2933947,71
LEARNING 1,20,20,20,20,2B,TMY15WA_BSEW0183,3651144,2933947,71
LEARNING 2,15,15,15,15,2B,TMY15WA_BSEW0184,3651144,2933947,71
PERFORMANCE,13,13,13,13,2B,TMY15WA_BSEW0185,3651144,2933947,71
LEARNING 4,15,15,15,15,2B,TMY15WA_BSEW0186,3651144,2933947,71
LEARNING 3,17,17,16,16,2B,TMY15WA_BSEW0187,3651144,2933947,71
FOOD PREP,22,22,22,22,2B,TMY15WA_BSEW0188,3651144,2933947,71
GYM,17,17,17,17,2B,TMY15WA_BSEW0189,3651144,2933947,71
Unmet Hours (Heating),8,8,8,8,2B,TMY15WA_BSEW0190,3651144,2933947,71
Unmet Hours (Cooling),188,194,191,191,2B,TMY15WA_BSEW0191,3651144,2933947,71
UH Compliance,196,202,199,199,2B,TMY15WA_BSEW0192,3651144,2933947,71
