Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,12,11,11,11,5C,TMY15WA_BSEW0182,4138171,1489545,69
LEARNING 1,13,13,13,13,5C,TMY15WA_BSEW0183,4138171,1489545,69
LEARNING 2,11,11,11,11,5C,TMY15WA_BSEW0184,4138171,1489545,69
PERFORMANCE,8,8,8,8,5C,TMY15WA_BSEW0185,4138171,1489545,69
LEARNING 4,10,10,10,10,5C,TMY15WA_BSEW0186,4138171,1489545,69
LEARNING 3,11,11,11,11,5C,TMY15WA_BSEW0187,4138171,1489545,69
FOOD PREP,15,15,15,15,5C,TMY15WA_BSEW0188,4138171,1489545,69
GYM,11,11,11,11,5C,TMY15WA_BSEW0189,4138171,1489545,69
Unmet Hours (Heating),613,48,50,48,5C,TMY15WA_BSEW0190,4138171,1489545,69
Unmet Hours (Cooling),507,161,159,157,5C,TMY15WA_BSEW0191,4138171,1489545,69
UH Compliance,1120,209,209,205,5C,TMY15WA_BSEW0192,4138171,1489545,69
